Team,Season,Division,Played,Won,Drew,Lost,For,Against,Points,Position,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,Top Scorer,Goals
Manchester United,1956–57,Div 1,42,28,8,6,103,54,64,1st,Runners-up,,W,European Cup – SF,,,,,Tommy Taylor,34
Manchester United,1957–58,Div 1,42,16,11,15,85,75,43,9th,Runners-up,,W,European Cup – SF,,,,,Dennis Viollet,23
Manchester United,1958–59,Div 1,42,24,7,11,103,66,55,2nd,R3,,,,,,,,Bobby Charlton,29
Manchester United,1959–60,Div 1,42,19,7,16,102,80,45,7th,R5,,,,,,,,Dennis Viollet,3 [18
Manchester United,1960–61,Div 1,42,18,9,15,88,76,45,7th,R4,R2,,,,,,,Bobby Charlton,21
Manchester United,1961–62,Div 1,42,15,9,18,72,75,39,15th,SF,n/ [19,,,,,,,David Herd,17
Manchester United,1962–63,Div 1,42,12,10,20,67,81,34,19th,W,n/ [19,,,,,,,Denis Law,29
Manchester United,1963–64,Div 1,42,23,7,12,90,62,53,2nd,SF,n/ [19,Runners-up,Cup Winners' Cup – QF,,,,,Denis Law,46
Manchester United,1964–65,Div 1,42,26,9,7,89,39,61,1st,SF,n/ [19,,Inter-Cities Fairs Cup – SF,,,,,Denis Law,39
Manchester United,1965–66,Div 1,42,18,15,9,84,59,51,4th,SF,n/ [19,Share [20,European Cup – SF,,,,,David Herd,33
Manchester United,1966–67,Div 1,42,24,12,6,84,45,60,1st,R4,R2,,,,,,,Denis Law,25
Manchester United,1967–68,Div 1,42,24,8,10,89,55,56,2nd,R3,,Share [20,W,,,,,George Bes [21,3 [22
Manchester United,1968–69,Div 1,42,15,12,15,57,53,42,11th,R6,,,"European Cup – SF
		Intercontinental Cup – Runners-up",,,,,Denis Law,30
Manchester United,1969–70,Div 1,42,14,17,11,66,61,45,8th,Third place,SF,,,,,,,George Best,23
Manchester United,1970–71,Div 1,42,16,11,15,65,66,43,8th,R3,SF,,,,,,,George Best,21
Manchester United,1971–72,Div 1,42,19,10,13,69,61,48,8th,R6,R4,,,,,,,George Best,26
Manchester United,1972–73,Div 1,42,12,13,17,44,60,37,18th,R3,R3,,,,,,,Bobby Charlton,7
Manchester United,1973–74,Div 1,42,10,12,20,38,48,32,21st,R4,R2,,,,,,,"Lou Macari
Sammy McIlroy",6
Manchester United,1974–75,Div 2,42,26,9,7,66,30,61,1st,R3,SF,,,,,,,"Lou Macari
Stuart Pearson",18
Manchester United,1975–76,Div 1,42,23,10,9,68,42,56,3rd,Runners-up,R4,,,,,,,Lou Macari,15
Manchester United,1976–77,Div 1,42,18,11,13,71,62,47,6th,W,R5,,UEFA Cup – R2,,,,,Gordon Hill,22
Manchester United,1977–78,Div 1,42,16,10,16,67,63,42,10th,R4,R2,Share [20,Cup Winners' Cup – R2,,,,,Gordon Hill,19
Manchester United,1978–79,Div 1,42,15,15,12,60,63,45,9th,Runners-up,R3,,,,,,,Jimmy Greenhoff,17
Manchester United,1979–80,Div 1,42,24,10,8,65,35,58,2nd,R3,R3,,,,,,,Joe Jordan,13
Manchester United,1980–81,Div 1,42,15,18,9,51,36,48,8th,R4,R2,,UEFA Cup – R1,,,,,Joe Jordan,15
Manchester United,1981–82,Div 1,42,22,12,8,59,29,7 [23,3rd,R3,R2,,,,,,,Frank Stapleton,13
Manchester United,1982–83,Div 1,42,19,13,10,56,38,70,3rd,W,Runners-up,,UEFA Cup – R1,,,,,Frank Stapleton,19
Manchester United,1983–84,Div 1,42,20,14,8,71,41,74,4th,R3,R4,W,Cup Winners' Cup – SF,,,,,Frank Stapleton,19
Manchester United,1984–85,Div 1,42,22,10,10,77,47,76,4th,W,R3,,UEFA Cup – QF,,,,,Mark Hughes,24
